siteid,street type,area,grass height,fast food or convenience store,bus stop within site or sight?,litter bin
1,major,mixed,short,1,0,0
2,minor,residential,mid,0,0,0
3,minor,residential,short,0,1,0
4,minor,residential,tall,0,0,0
5,minor,residential,na,0,0,0
6,minor,"mixed, park",short,0,0,0
7,minor,residential,short,0,0,0
8,minor,residential,mid,0,0,0
9,minor,residential,short,0,0,0
10,minor,residential,short,0,1,0
11,minor,residential,short,0,0,0
12,minor,residential,short,0,0,0
13,minor,residential,short,0,0,0
14,minor,residential,short,0,0,0
15,major,commercial,na,1,1,0
16,minor,residential,mid,0,1,0
17,major,residential,short,1,1,1
18,minor,commercial,na,1,0,0
19,major,commercial,na,0,1,1
20,minor,residential,short,0,0,0
21,minor,residential,short,0,0,0
22,major,commercial,na,0,1,0
23,minor,residential,short,0,0,0
24,minor,residential,short,0,0,0
25,minor,residential,short,0,0,0
26,minor,residential,mid,0,0,0
27,major,residential,short,0,1,0
28,minor,residential,short,0,0,0
30,minor,residential,short,0,0,0
31,major,commercial,na,1,1,0
32,minor,residential,mid,0,0,0
33,major,residential,na,1,0,1
34,major,"mixed, park",short,0,1,1
35,minor,residential,short,0,0,0
36,minor,"mixed, park",short,0,0,1
37,minor,residential,short,0,0,0
38,major,commercial,na,1,1,1
39,minor,industrial,short,0,0,0
40,minor,residential,na,1,0,0
41,major,mixed,short,1,0,0
42,minor,commercial,mid,0,0,0
43,minor,residential,short,0,0,0
44,minor,residential,short,0,0,0
45,minor,residential,short,0,0,0
46,minor,residential,short,0,0,0
47,major,residential,short,0,0,0
48,minor,residential,short,0,0,0
49,minor,residential,short,0,0,0
50,minor,commercial,mid,0,0,0
51,minor,residential,tall,0,0,0
52,minor,industrial,short,0,0,0
53,minor,residential,short,0,0,0
54,major,mixed,na,0,1,1
55,minor,residential,short,0,1,0
56,minor,residential,short,0,0,0
57,minor,residential,short,0,0,0
58,minor,residential,short,0,0,0
59,minor,residential,short,0,0,0
60,minor,mixed,short,1,0,0
61,minor,residential,short,0,0,0
62,major,mixed,short,1,0,0
63,minor,essential,short,0,1,0
64,minor,residential,short,0,0,0
65,minor,residential,short,0,0,0
66,minor,residential,short,0,0,0
67,minor,mixed,mid,0,0,0
68,major,residential,short,0,0,0
69,minor,residential,mid,0,1,1
70,major,residential,short,1,1,0
71,minor,residential,short,0,0,0
72,minor,residential,mid,0,0,1
73,minor,residential,short,0,0,0
74,minor,residential,short,0,0,0
75,minor,commercial,na,0,1,1
76,minor,mixed,na,1,0,0
77,major,mixed,na,1,1,1
78,minor,mixed,short,0,0,0
79,minor,residential,short,0,0,0
80,minor,residential,short,0,0,0
81,minor,residential,short,0,0,0
82,minor,residential,short,0,0,0
83,minor,residential,short,0,0,0
84,minor,residential,short,0,0,0
85,major,residential,short,0,0,0
86,minor,residential,short,0,0,0
87,minor,residential,short,0,0,0
88,minor,residential,short,0,0,0
89,major,commercial,short,0,1,1
90,minor,residential,short,0,0,0
91,minor,residential,short,0,0,0
92,minor,residential,short,0,0,0
93,minor,residential,short,0,0,0
94,minor,residential,short,0,0,0
95,minor,residential,short,0,0,0
96,minor,residential,short,0,0,0
97,minor,commercial,short,1,0,0
98,minor,residential,short,0,0,0
100,minor,residential,short,0,0,0
101,major,commercial,na,1,0,0
102,major,commercial,na,0,1,0
103,minor,residential,short,0,0,0
104,major,commercial,na,1,1,1
105,major,commercial,na,1,1,1
106,major,commercial,na,1,1,1
107,major,mixed,short,0,1,1
108,major,commercial,na,1,0,1
109,major,commercial,na,1,0,0
110,major,commercial,na,1,1,1
