siteid,muni_large_count,area_ft2_large
55,67.5,2900
17,65.5,2500
110,45,3600
52,43,2100
92,41.5,3600
97,36,3200
54,25.5,2266.666667
30,25,3600
68,25,3600
76,25,1400
31,24,2900
60,24,3600
83,23,3200
33,22,2533.333333
44,21,1600
15,20,2533.333333
107,19.5,2900
75,18.5,3300
10,17.5,2300
48,17,3000
58,17,3600
12,16.5,3600
41,16.5,2200
24,15.5,1900
7,15,1000
9,14,3200
38,14,3600
77,14,1733.333333
81,14,1600
34,13,1800
53,13,2300
4,12,2600
14,12,2600
49,12,2533.333333
59,12,3000
67,11,2466.666667
93,11,2000
71,10.5,3600
56,10,2900
79,10,2600
80,10,3066.666667
45,9,2400
61,9,2333.333333
101,9,3600
20,8,3400
74,8,3600
89,8,3133.333333
96,8,2500
103,8,2500
3,7,1800
23,7,3000
51,7,1400
72,7,3000
95,7,3333.333333
98,7,3600
6,6,3466.666667
39,6,2733.333333
82,6,2800
85,6,3600
104,6,2600
108,6,2200
11,5,3600
27,5,1600
32,5,2400
66,5,2600
78,5,2600
2,4,2800
21,4,3200
35,4,2400
43,4,2933.333333
57,4,2866.666667
69,4,2800
70,4,2500
100,4,3000
102,4,3333.333333
106,4,3300
13,3.5,2700
62,3.5,2900
16,3,1600
18,3,2700
19,3,3600
25,3,3233.333333
26,3,3600
28,3,3600
37,3,3000
42,3,2800
47,3,3000
50,3,3000
63,3,2900
84,3,3600
87,3,3600
90,3,3200
109,3,2066.666667
40,2.5,3366.666667
1,2,2100
8,2,1400
64,2,3166.666667
65,2,3600
88,2,400
91,2,3300
105,2,3600
5,1,2800
36,1,1600
86,1,3600
94,1,3400
22,0,3000
