Site #,Site Id,Ward,Date,Start,Finish,Team,Fixed,Width 1,Width 2,Width 3,Street,St. Type,Lanes,Divided,Area,Grass Ht.(Inches),FastFood,ConvStore,MobileFood,"Bench or
Resting
Structure",Bus Stop,"Traffic
Light/
Stop sign",Litter Bin,"Large
Litter
Count","Small
Litter
Count",Catch Pt,LitterIndex,Cleanup,Details,Street,Coordinates,"Updated
Coordinates from
Previous Survey",Comments,2012_large,2012_small,2012_total
89,94,25,19-Sep-16,9:37 AM,10:00 AM,B,Var,18,18,8,Bayview Ave,Major,4,N,Res,N/A,N,N,N,Y,Y,Y,Y,20,8,Curb- Grass Line,1,N,"Bin beside bus stop, one along sidewalk",Ave,N:43.72791W:79.383458,,"site is more on Lawrence, adjacent to intersection and school",17,2,19
90,95,25,21-Sep-16,10:10 AM,10:18 AM,B,Var,2,2,2,Stratford Cres.,Minor,2,N,Res,N/A,N,N,N,N,N,N,N,3,0,Curb,1,N,,Cres,"N:43.720241
W:79.385692",,Construction on street,4,1,5
91,96,25,19-Sep-16,10:17 AM,10:30 AM,B,Var,6,6.5,6,Bayview Ave.,Major,4,N,Res,N/A,N,N,N,N,Y,Y,Y,19.5,8,"Curb-Grass
Line",2,N,,Ave,"N:43.720016
W:79.378496",,"large health centre north east of
site, park and trail at south end
of site. Near Blythwood and
across street",42,9,51
92,97,25,21-Sep-16,3:03 PM,3:12 PM,C,Var,7,7,7,Deloraine Ave.,Minor,2,N,Com-Res,3 to 6,Y,N,N,Y,Y,Y,Y,1,8,"Hedge-Curb-
Grass Line",1,N,,Ave,"N:43.773397
W:79.40466",,2 divided city bins,9,0,9
93,98,16,19-Sep-16,11:10 AM,11:20 AM,B,Var,8,8,8,Henning Ave.,Minor,2,N,Res,N/A,N,N,N,Y,Y,Y,N,12,3,"Curb-Grass-
Brick wall",2,N,,Ave,"N:43.70689
W:79.401692",,,1,2,3
94,99,15,20-Sep-16,10:05 AM,10:20 AM,B,Var,14,14,15,Glenmount Ave.,Minor,2,N,Res,over 6,N,N,N,N,N,Y,N,27,9,"Fence-Hedge-
Curb-Grass
Line",3,N,,Ave,"N:43.713307
W:79.431306",,,0,2,2
95,100,15,20-Sep-16,10:29 AM,10:45 AM,B,Var,2,2,2,Dalemount Ave.,Minor,2,N,Res,N/A,N,N,N,N,N,Y,N,21.5,2,Curb-Construction Trailer,4,N,"Construction trailer, cars parked for length of site",Ave,N:43.71669W:79.434589,,school located on the north west corner of Glenmont and Fairholme (Across Fairholome from site),1,2,3
96,101,15,20-Sep-16,1:00 PM,1:13 PM,B,Var,6.5,6.5,7.5,Lanark Ave.,Minor,2,N,Res,N/A,N,Y,N,N,N,Y,N,7.5,9,"Hedge-Curb-
Stone wall",1,N,,Ave,"N:43.696401
W:79.444255",,"school located across
Gelnholme from site",3,1,4
97,102,15,20-Sep-16,12:40 PM,12:52 PM,B,Var,6.5,7,6.5,Ronald Ave.,Minor,2,N,Res,N/A,N,N,N,N,N,Y,N,3,1,"Curb- Grass
Line",1,N,,Ave,"N:43.697006
W:79.458551",,,28,1,29
98,103,12,20-Sep-16,11:40 AM,11:51 AM,B,Var,7.5,7.5,7.5,Amesbury Dr.,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,5.5,3,"Fence-Hedge-
Curb-Grass
line",2,N,,Drive,"N:43.700463
W:79.481185",,,11,5,16
99,104,12,16-Sep-16,8:25 AM,8:37 AM,C,Fixed,18,18,18,Brookhaven Dr.,Minor,2,N,"Res-School
(Inst)",3 to 6,N,N,N,N,N,Y,N,15,9,"Fence-Curb-
Grass Line",3,N,,Drive,"N:43.700807
W:79.495005",,"Audit site alongside fence of
school playground",16,5,21
100,105,12,16-Sep-16,8:41 AM,8:55 AM,C,Fixed,18,18,18,Thurodale Ave.,Minor,2,N,"Res-School
(Inst)",3 to 6,N,N,N,N,N,Y,N,18,14,"Fence-Curb-
Grass Line",3,N,,Ave,"N:43.701581
W:79.500824",,"Audit site alongside fence of
school playground",32,9,41
101,106,12,20-Sep-16,12:01 PM,12:14 PM,C,Var,7.5,7.5,7.5,Lampton Ave,Minor,2,N,Res,over 6,N,N,N,N,N,N,N,14,14,Hedge-Curb,2,N,,Ave,"N:43.68112
W:79.49635",*,"residential auto carts along
survey area",4,2,6
102,107,9,21-Sep-16,11:36 AM,11:43 AM,C,Var,2,2,2,Cornelius Pkwy.,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,10,5,"Curb-Grass
Line",1,N,,Parkway,"N:43.725439
W:79.476947",,,7,0,7
103,108,9,21-Sep-16,1:13 PM,1:20 PM,C,Var,9,10,10,Murray Rd.,Minor,2,N,Res-Ind,3 to 6,N,N,N,N,N,N,N,0,14,"Curb-Grass
Line",1,N,,Road,"N:43.73271
W:79.472594",,"across Plewes rd from Toronto
Transportation Services",3,2,5
104,109,9,21-Sep-16,1:27 PM,1:37 PM,C,Fixed,18,18,18,Beffort Rd.,Major,2,N,Res,3 to 6,N,N,N,N,N,N,N,8,2,"Curb-Grass
Line",1,N,,Road,"N: 43.73549
W:79.46059",*,"adjacent to large empty lot for
industrial property",4,2,6
105,110,9,16-Sep-16,11:37 AM,11:50 AM,A,Fixed,18,18,18,Sheppard Ave. W,Major,4,N,Res,<3,N,N,N,Y,Y,Y,N,26,26,"Curb-Grass
Line",2,N,,Ave,"N:43.742124
W:79.498615",,"Park at end of Clubhouse Court.
Start at walkway",26,24,50
106,111,8,16-Sep-16,10:07 AM,11:20 AM,A,Fixed,18,18,18,Finch Ave. W,Major,4,N,Com-Res,<3,Y,Y,N,Y,Y,Y,Y,21,48,"Curb-Grass
Line",3,N,,Ave,"N:43.757832
W:79:512107",,"adjacent to several apartment
buildings",51,40,91
107,112,8,16-Sep-16,10:13 AM,10:30 AM,A,Fixed,18,18,18,Jane St.,Major,4,N,Res,<3,N,Y,N,Y,Y,Y,Y,27,22,Curb-Grass Line,4,N," City bin with pedal; garbage, recycling, cigarettes",Street,N:43.771125W:79.521855,,,21,12,33
108,113,8,21-Sep-16,9:31 AM,9:40 AM,C,Var,2,2,2,Magnetic Dr.,Minor,2,N,Com,<3,Y,N,N,N,N,N,N,5,3,"Curb-Grass
Line",1,N,,Dr.,"N:43.66427
W:79.44927",,,10,11,21
109,114,8,21-Sep-16,9:56 AM,10:13 AM,C,Fixed,18,18,18,Chesswood Dr.,Major,2,N,Com,<3,N,N,N,N,Y,N,N,10,27,"Curb-Grass
Line",1,N,,Dr.,"N:43.764824
W:79.477692",,,22,15,37
110,115,16,22-Sep-16,9:55 AM,10:05 AM,B,Var,9.5,9.5,18,Lawrence Ave. W,Major,4,N,Res,N/A,Y,Y,N,N,Y,Y,N,13,14,Fence-Curb-Grass Line,3,N,,Ave,N:43.722873W:79.414069,,site across from secondary school lot and adjacent to shelter and medical clinic parking lot. Start at east end of clinic heading west,21,0,21
111,116,12,16-Sep-16,8:13 AM,8:20 AM,C,Fixed,18,18,18,Tretheway Dr,Major,4,N,Res,<3,N,N,N,N,Y,Y,Y,6,3,"Fence-Curb-
Grass Line",1,N,1 divided city bin,Drive,"N:43.63697
W:79.43589",,,15,9,24
112,117,16,22-Sep-16,9:38 AM,9:48 AM,B,Var,7.5,10.5,8.5,Avenue Rd.,Major,4,N,Res,N/A,Y,Y,N,N,Y,Y,Y,5,10,"Curb-Grass
Line",1,N,Bin across street,Road,"N:43.719635
W:79.415407",,"across the street from a private
school",2,0,2
113,118,13,15-Sep-16,9:15 AM,9:40 AM,C,Var,9,3,3,Woodland Hts.,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,0,0,Curb,1,N,,Heights,"N: 43.64022
W:79.46885",*,"Started at fire hydrant after Y-
intersection",2,0,2
114,119,6,19-Sep-16,10:50 AM,11:08 AM,C,Fixed,18,18,18,Butterick Rd.,Minor,2,N,Ind,3 to 6,N,N,N,Y,N,Y,N,18,23,"Grass Line-
Ditch",2,N,,Road,"N: 43.61330
W:79.53040",*,"site across several commercial
lots, many vehicles parked along
site",6,18,24
115,120,32,15-Sep-16,2:06 PM,2:20 PM,A,Var,18,12,18,Queen St. East,Major,4,N,Res-Com,N/A,Y,Y,N,Y,N,Y,Y,3,30,Curb-Building,1,N,Bin across street,Street,N: 43.67118W:79.29537,*,started at the intersection of Wineva and Queen to ensure 200 ft survey area. At least 3 litter bins within view of site,11,18,29
116,121,32,14-Sep-16,2:30 PM,2:42 PM,B,Var,6.5,7,8.5,Glen Stewart Ave.,Minor,2,N,Res,N/A,N,N,N,N,N,Y,N,5,2,Curb,1,N,,Ave,"N: 43.67783
W:79.29945",*,Start at #44 heading west,0,1,1
117,122,30,14-Sep-16,1:20 PM,1:40 PM,B,Var,7,6.5,7,Walpole Ave.,Minor,2,N,Res,N/A,N,N,N,N,N,Y,N,52,7,Curb,4,N,,Ave,"N:43.674358
W:79.32857",,Start at #48 moving west,13,3,16
118,123,32,15-Sep-16,11:08 AM,11:20 AM,B,Var,6.5,6.5,6.5,Barker Ave.,Minor,2,N,Res,N/A,N,Y,N,N,N,Y,N,9,4,"Hedge-Curb-
Stone wall",1,N,,Ave,"N:43.694514
W:79.316257",,,10,1,11
119,124,31,15-Sep-16,2:14 PM,2:45 PM,B,Var,18,18,7,Halsey Ave.,Minor,2,N,Res-Com,3 to 6,Y,Y,N,N,N,Y,N,93,36,"Curb-Grass
Line-Tree Line",4,N,,Ave,"N:43.699582
W:79.298125",,"100 ft from intersection of
Halsey and Dawes very litter
filled",30,33,63
120,125,32,15-Sep-16,11:56 AM,12:15 PM,B,Var,13,13,13,Aldridge Ave.,Minor,2,N,Res,over 6,N,N,N,N,N,Y,N,43,8,"Curb-Grass-
Stone wall",4,N,,Ave,"N:43.684154
W:79.317425",,,25,1,26
121,126,32,14-Sep-16,1:00 PM,1:10 PM,B,Var,6.5,6.5,6,Ashdale Ave.,Minor,2,N,Res,N/A,N,N,N,N,N,Y,N,6,2,Curb-Sewer Grate,1,N,,Ave,N:43.667206W:79.319603,,"site is a one way street , one lane for driving and one for parking. Start at #45 heading south",5,6,11
122,127,32,14-Sep-16,12:42 PM,12:53 PM,B,Var,6.5,6.5,8,Orchard Park Blvd.,Minor,2,N,Res,N/A,N,N,N,Y,N,Y,Y,7.5,3,"Fence-Curb-
Hedge",1,N,City bin at start of site,Blvd,"N: 43.66793
W:79.31413",*,"one way street. Start at #20
heading southwest",1,0,1
123,128,32,14-Sep-16,2:47 PM,2:57 PM,B,Var,5,6.5,5,Wayland Ave.,Minor,2,N,Res,<3,N,N,N,N,N,Y,N,3,2,Curb,1,N,,Ave,"N:43.68302
W:79.29525",*,one way street,6,1,7
124,129,32,14-Sep-16,3:07 PM,3:27 PM,B,Var,14,18,6.5,Gerrard St. E,Major,4,N,Res,<3,N,N,N,N,Y,Y,Y,10.5,33,"Fence-Curb-
Grass Line",2,N,"Bin across street next
to bus stop",Street,"N: 43.68512
W:79.29453",*,"survey start at corner (east) of
Malvern & Gerrard to ensure
200ft length",13,8,21
125,131,44,20-Sep-16,3:01 PM,3:14 PM,A,Var,18,17,18,Ellesmere Rd.,Major,4,N,Res-Com,3 to 6,N,N,N,Y,Y,Y,Y,19.5,13,Curb-Grass Line,2,N,2 garbage and recycling adjacent to site,Road,N: 43.78751W:79.18439,*,site begins in front of Hakim Optical and Sandy's Cuisine & Café. 3351 Ellesmere Rd,14,13,27
126,132,44,14-Sep-16,3:40 PM,3:50 PM,B,Var,10,11,10,Kingston Rd,Major,4,N,Com,N/A,Y,Y,N,Y,Y,Y,Y,10.5,8,Curb,1,N,,Road,"N: 43.68037
W:79.28799",*,"site begins 50 ft from Silver
Birch heading east",23,16,39
127,133,44,20-Sep-16,2:39 PM,2:51 PM,A,Var,17,17,17,Hedge End Rd.,Minor,2,N,Res,<3,N,N,N,Y,N,N,Y,13.5,5,"Curb-Grass
Line",1,N,"Garbage & recycling
adjacent to point 3",Road,"N:43.808348
W:79.173715",,Infront of house #5,3,7,10
128,134,44,20-Sep-16,12:30 PM,12:39 PM,A,Var,17,17,17,Portsmouth Dr.,Minor,2,N,Res,"3 to 6, over 6",N,N,N,N,N,N,N,2,2,"Curb-Grass
Line",1,N,,Drive,"N: 43.77567
W:79.14249",*,"Start @ house 51 before
driveway",3,1,4
129,135,44,22-Sep-16,8:02 AM,8:08 AM,A,Var,2,2,2,Broadbridge Dr.,Minor,2,N,Res,3 to 6,N,N,N,N,N,N,N,3,0,"Curb-Grass-
Driveway",1,N,,Drive,"N:43.78803
W:79.13211",*,Start @ house 31,0,0,0
130,136,44,22-Sep-16,8:15 AM,8:22 AM,A,Var,17,17,17,Moorefield Dr.,Minor,2,N,Res,"<3, 3 to 6",N,N,N,N,N,Y,N,5,3,"Curb-Grass
Line",1,N,,Drive,"N:43.78117
W:79.13486",*,,2,3,5
131,137,44,20-Sep-16,11:55 AM,12:06 PM,A,Fixed,18,18,18,Manse Rd,Minor,2,N,Res,3 to 6,N,N,N,Y,Y,Y,N,15,36,"Curb-Grass
Line",3,N,,Road,"N: 43.76609
W:79.17428",*,"Started in front of 235 sign on
Manse Rd, bus stop 20 ft from
point 3",1,2,3
132,138,43,20-Sep-16,11:08 AM,11:17 AM,A,Var,3,3,3,Galloway Rd.,Minor,2,N,Res,3 to 6,N,N,N,N,N,N,N,3,1,Curb,1,N,,Road,"N: 43.75393
W:79.19131",*,"Start @ house 60, 70ft from end
of driveway",1,2,3
133,139,43,20-Sep-16,10:54 AM,11:00 AM,A,Fixed,18,18,18,Leverhume Cres.,Minor,2,N,Res,"<3, 3 to 6",N,N,N,N,N,N,N,6,5,"Curb-Grass-
Property Line",1,N,,Crescent,"N: 43.75180
W:79.20234",*,"Start @ house 20 after 26
garden",2,0,2
134,140,42,20-Sep-16,2:07 PM,2:24 PM,A,Var,12,10,9,"Scarborough-Pickering
Town line",Minor,2,N,Res-Park,over 6,N,N,N,N,N,N,N,43,2,"Curb-Grass-
Tree Line",3,N,,Town Line,"N:43.85195
W:79.16869",*,"Country side road off of Tauntin
Rd & Steeles Ave",9,1,10
135,141,42,21-Sep-16,8:21 AM,8:41 AM,A,Var,17,16,18,Littles Rd.,Minor,2,N,Res,3 to 6,N,N,N,Y,Y,Y,Y,39,43,Curb-Grass Line,3,N,Garbage & recycling bins @ bus stop on corner,Road,N: 43.81741W:79.20461,*,Started across from Little & Birrell Ave towards Sewell's ,20,6,26
136,142,31,15-Sep-16,3:05 PM,3:20 PM,B,Var,6.5,6.5,10,St Clair Ave. E,Major,4,N,Res-Com,N/A,Y,Y,N,N,N,Y,N,19.5,8,"Curb-Cement
Bank",3,N,,Street,"N: 43.70797
W:79.30190",,,16,11,27
137,143,31,15-Sep-16,3:30 PM,3:38 PM,B,Var,10,10,10,Northdale Blvd.,Minor,1,Y,Res,<3,N,N,N,N,N,N,N,2,0,"Curb-Grass-
Sewer",1,N,,Blvd,"N:43.70875
W:79.31678",*,"barrier separating two one way
streets",3,2,5
138,144,29,15-Sep-16,11:35 AM,11:48 AM,B,Var,8.5,7,7,Monarch Park Ave.,Minor,2,N,Res,<3,N,N,N,N,N,Y,N,7,2,"Hedge-Stone
walk",1,N,,Ave,"N:43.68537
W:79.328084",,,3,4,7
139,145,29,15-Sep-16,9:46 AM,10:02 AM,B,Var,18,18,9,Plains Rd.,Minor,2,N,Res,N/A,Y,N,N,N,N,Y,N,13.5,5,"Fence-Curb-
Sewer",2,N,,Road,"N:43.695004
W:79.332344",,"School drop-off and pick-up
zone",1,1,2
140,146,30,14-Sep-16,12:02 PM,12:12 PM,B,Var,6.5,6.5,6.5,Caroline Ave.,Minor,2,N,Res,<3,N,Y,N,N,N,Y,N,12,3,"Hedge-Curb-
Grass Line",3,N,,Ave,"N: 43.66066
W:79.33475",*,Start @ 73 going south,10,13,23
141,147,30,14-Sep-16,9:26 AM,9:37 AM,B,Var,6.5,6.5,6.5,Frizzell Ave.,Minor,2,N,Res,3 to 6,N,N,N,N,Y,Y,N,18.5,2,Fence-Hedge-Curb-Grass Line,3,N,,Ave,N:43.674373W:79.343994,,one way street one lane for driving and one for parking,14,0,14
142,148,29,14-Sep-16,9:04 AM,9:19 AM,B,Var,6,6.5,18,Selkirk St.,Minor,2,N,Res,over 6,N,N,N,N,N,N,N,12,4,"Fence-Hedge-
Curb",2,N,,Street,"N:43.682139
W:79.345668",,,22,2,24
143,149,29,14-Sep-16,8:22 AM,8:50 AM,B,Var,11,9,9,Pape Ave,Major,4,N,Res-Com,N/A,N,Y,N,Y,Y,Y,Y,2.5,9,"Curb-Grass
Line",1,N,"Bins across from site
and on site",Ave,"N:43.686056
W:79.347524",,North from Mortimer,5,37,42
144,150,30,14-Sep-16,11:28 AM,11:53 AM,B,Var,13,14.5,14.5,Booth Ave.,Minor,2,N,Ind,over 6,N,N,N,N,N,Y,N,66.5,10,"Fence-Curb-
Grass Line",4,N,,Ave,"N:43.655503
W:79.342198",,"site adjacent to city property.
saw garbage trucks nearby",33,3,36
145,151,29,19-Sep-16,2:50 PM,3:00 PM,B,Var,6,6,6,Fernwood Gardens,Minor,2,N,Res,N/A,N,N,N,N,Y,Y,Y,19,5,Curb,3,N,"Bin @ bus stop on
Broadview",Gardens,"N:43.691614
W:79.356662",,,45,11,56
146,152,35,19-Sep-16,9:50 AM,9:59 AM,A,Fixed,18,18,18,Zenith Dr.,Minor,2,N,Res,3 to 6,N,N,N,N,Y,Y,Y,11,16,"Curb-Grass
Line",2,N,"Garbage & recycling
bins @ bus stop on
corner",Drive,"N:43.7121
W:79.26971",*,Construction on Zenith,8,1,9
147,153,35,19-Sep-16,12:22 PM,12:44 PM,A,Fixed,18,18,18,Kennedy Rd.,Major,4,N,Res-Com,<3,Y,Y,N,Y,Y,Y,Y,72,29,"Curb-Grass-
Property Line",4,N,"Garbage & recycling
bins @ bus stop",Road,"N: 43.72653
W:79.26570",*,,15,27,42
148,154,35,19-Sep-16,12:00 PM,12:06 PM,A,Var,8,8,8,Verdun Ave.,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,5,4,"Fence-Curb-
Grass Line",2,N,,Ave,"N: 43.72926
W:79.25420",*,,13,3,16
149,155,35,19-Sep-16,2:25 PM,2:43 PM,A,Var,18,8,18,Eglinton Ave. E,Minor,2,N,Res-Com,3 to 6,N,N,N,Y,Y,Y,Y,18,21,"Curb-Grass-
Sidewalk",2,N,"Garbage & recycling
betweet points 1 & 2",Ave,"N: 43.73277
W:79.26445",*,"Survey completed directly in
front of transit station bus area",6,29,35
150,156,37,19-Sep-16,3:17 PM,3:29 PM,A,Var,10,10,10,Sherwood Ave.,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,10,0,"Curb-Grass-
Property Line",2,N,,Ave,"N: 43.74061
W:79.30096",*,,2,6,8
151,157,37,20-Sep-16,8:05 AM,8:16 AM,A,Fixed,18,18,18,Laxford Ave.,Minor,2,N,Res,3 to 6,N,N,N,N,N,N,N,4,10,"Curb-Grass
Line",1,N,,Ave,"N: 43.74242
W:79.29944",*,Started @ house #25,17,9,26
152,158,37,20-Sep-16,8:24 AM,8:34 AM,A,Var,12,12,12,Warden Ave.,Major,4,N,Res,3 to 6,Y,N,N,N,N,Y,N,6.5,11,"Curb-Grass-
Property Line",2,N,,Ave,"N: 43.74329
W:79.29383",*,Start @ house 1110,10,30,40
153,159,37,21-Sep-16,8:10 AM,8:21 AM,B,Var,10,10,10,Princemere Cr,Minor,2,N,Res,<3,N,N,N,N,N,Y,N,7.5,3,"Curb-Grass
Line",1,N,,Crescent,"N: 43.75507
W:79.30285",*,,5,1,6
154,160,37,20-Sep-16,8:51 AM,8:57 AM,A,Var,3,3,3,Flora Dr.,Minor,2,N,Res,3 to 6,N,N,N,N,N,N,N,18,0,Curb,1,N,,Drive,"N: 43.74769
W:79.27628",*,In front of house 202,4,3,7
155,161,40,21-Sep-16,2:50 PM,3:05 PM,B,Fixed,18,18,18,Ellesmere Rd.,Minor,6,Y,Com-Ind,3 to 6,Y,Y,N,Y,Y,Y,Y,22,20,"Curb-Grass
Line",3,N,Bin @ bus stop on site,Road,"N: 43.767869
W:79.27332",*,"Toronto Public Library
Administration Centre also
present in area",1,2,3
156,162,40,21-Sep-16,8:40 AM,8:51 AM,B,Fixed,18,18,18,Crocus Dr.,Minor,2,N,Park,3 to 6,N,N,N,N,N,Y,Y,14,5,"Curb-Grass
Line",2,N,In middle of site,Drive,"N 43.76871
W:79.30757",*,,5,3,8
157,163,40,21-Sep-16,12:33 PM,12:45 PM,A,Var,17,17,17,Murmouth Rd.,Minor,2,Y,Res,<3,N,N,N,N,N,Y,N,9,2,"Curb-Grass-
Property Line",1,N,,Road,"N: 43.77826
W:79.29488",*,"Started approx. 10 ft after house
34",5,6,11
158,164,40,21-Sep-16,12:09 PM,12:20 PM,A,Var,17,18,17,Kellen St.,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,2,3,"Curb-Grass
Line",1,N,,Street,"N: 43.78231
W:79.30687",*,Start @ house 11,3,2,5
159,165,40,21-Sep-16,11:55 AM,12:03 PM,A,Var,17,18,18,Huntingwood Dr.,Minor,2,N,Res,3 to 6,N,N,N,N,Y,N,N,11.5,40,"Curb-Grass-
Property Line",2,N,,Drive,"N: 43.78631
W:79.30830",*,"Start @ corner of Davisbrooke &
Huntingwood Dr",12,13,25
160,166,39,21-Sep-16,2:08 PM,2:20 PM,A,Var,15,17,17,Kilchurn Castle Dr.,Minor,2,N,Res,3 to 6,N,N,N,Y,Y,Y,Y,3,6,Curb-Grass Line,1,N,Bin @ corner of Kennedy & Huntingwood,Drive,N: 43.79472W:79.29494,*,Start @ corner of Kilchum Castle & Huntingwood,2,0,2
161,167,39,21-Sep-16,9:53 AM,10:05 AM,A,Var,17,17,17,Sanwood Blvd,Minor,2,N,Res,"<3, 3 to 6",N,N,N,N,Y,N,N,4,5,"Curb-Grass-
Property Line",1,N,,Blvd,"N: 43.81645
W:79.31322",*,Start @ house 11,7,3,10
162,168,39,21-Sep-16,9:38 AM,9:42 AM,A,Var,17,17,17,Chapel Park Sq,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,1,3,"Curb-Grass
Line",1,N,,Square,"N:43.81988
W:79.31416",*,Start @ house 7,7,4,11
163,169,41,21-Sep-16,2:50 PM,3:05 PM,A,Fixed,18,18,18,Midland Ave,Major,4,N,Res,<3,N,N,N,N,Y,Y,Y,19,26,Curb-Grass Line,2,N,Garbage & recycling across street @ bus stop,Ave,N: 43.79361W:79.28186,*,site begins at 2717 Midland Ave,5,3,8
164,170,41,21-Sep-16,2:30 PM,2:40 PM,A,Var,17,17,18,Crockamhill Dr.,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,1,6,"Curb-Grass-
Property Line",1,N,,Drive,"N: 43.79812
W:79.28194",*,"site begins at 61 Crockamhill,
construction @ start of street",3,1,4
165,171,40,21-Sep-16,9:23 AM,9:28 AM,A,Var,3,3,3,Scoville Sq.,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,6,0,"Curb-Grass-
Property Line",1,N,,Square,"N: 43.82558
W:79.28783",*,"start point in front of 11 Scoville
Sq",9,12,21
166,172,41,21-Sep-16,8:55 AM,9:10 AM,A,Fixed,18,18,18,Maybrook Dr.,Minor,2,N,Ind,3 to 6,N,N,N,Y,Y,N,Y,30,19,"Curb-Grass
Line",2,N,"Garbage & recycling on
street @ bus stop",Drive,"N:43. 82394
W:79.26061",*,"site starts in front of CBM
Scarborough Plant",6,2,8
167,173,32,15-Sep-16,2:53 PM,3:02 PM,A,Var,15,7,6,Victoria Park Ave.,Minor,2,N,Res,3 to 6,Y,N,N,N,N,Y,N,10,5,"Fence-Curb-
Property Line",2,N,,Ave,"N:43.68077
W:79.28403",*,,3,6,9
168,174,36,19-Sep-16,8:55 AM,9:02 AM,A,Var,2,2,2,Wynnview Crt.,Lane,1,N,Res,3 to 6,N,N,N,N,N,Y,N,0,2,"Grass-
Property Line",1,N,,Court,"N: 43.69851
W:7925414",*,Right side of street,9,6,15
169,175,36,19-Sep-16,10:25 AM,10:36 AM,A,Var,17,17,17,Sloley Rd.,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,13,8,"Curb-Grass
Line",2,N,,Road,"N: 43.72042
W:79.23039",*,school @ point 1,0,1,1
170,176,36,19-Sep-16,11:20 AM,11:25 AM,A,Fixed,18,18,18,Randall Cres.,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,4,2,"Curb-Grass
Line",1,N,,Crescent,"N:43.72835
W:79.23933",*,start @ 264 Randall,1,4,5
171,177,36,19-Sep-16,11:08 AM,11:20 AM,A,Var,3,3,3,Randall Cres.,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,5,1,Curb,2,N,,Crescent,"N: 43.72633
W:79.23846",*,,3,2,5
172,178,36,19-Sep-16,10:46 AM,10:59 AM,A,Var,7,7,7,Kingston Rd,Major,6,N,Res-Com,3 to 6,Y,Y,N,Y,Y,Y,Y,4,5,Curb-Grass Line,1,N,Garbage & recycling@bus stop 50 ft from point 3,Road,N:43.72412W:79.23384,*,,2,12,14
173,179,36,20-Sep-16,10:24 AM,10:38 AM,A,Fixed,18,18,18,Eglinton Ave. E,Major,6,Y,Res-Com,<3,Y,Y,N,N,Y,Y,Y,13,21,"Curb-Grass
Line",1,N,"Garbage bin outside
Metro",Ave,"N: 43.74324
W:79.21822",*,Metro @ point 3,11,26,37
174,180,38,20-Sep-16,9:25 AM,9:35 AM,A,Var,17,17,17,Suraty Ave.,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,0,2,"Curb-Grass
Line",1,N,,Ave,"N: 43.76101
W:79.24915",*,Infront of house #18,0,0,0
175,181,38,21-Sep-16,3:25 PM,3:34 PM,B,Var,14,16,16,Lynnbrook Dr.,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,8.5,5,"Curb-Grass
Line",2,N,,Drive,"N: 43.77222
W:79.24480",*,,6,0,6
176,182,38,22-Sep-16,9:35 AM,9:48 AM,A,Fixed,18,18,18,Progress Ave.,Major,4,N,Ind,3 to 6,N,N,N,N,N,Y,N,23.5,20,Curb-Grass,3,Y,Street cleaner vacuum cleaning garbage on street,Ave,N: 43.77703W:79.24947,*,Site begins at fire hydrant in front of Oxford College,6,22,28
177,183,42,22-Sep-16,9:02 AM,9:22 AM,A,Fixed,18,18,18,Sheppard Ave. E,Major,4,N,Res,3 to 6,Y,Y,N,Y,Y,Y,Y,26,18,Curb-Grass Line,1,Y,Garbage bin outside plaza adjacent to site. Super Sucker going down Sheppard,Ave,N: 43.79432W:79.23630,*,Construction on right side of site (new apartment),11,6,17
178,184,42,22-Sep-16,8:40 AM,8:50 AM,A,Var,11,11,3,Unita Gr. (Grove),Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,21,13,"Curb-Grass
Line",1,N,,Grove,"N: 43.80146
W:79.22691",*,"site begins at intersection of
Unita and Mammoth Hall on
sidewalk",4,5,9
179,201,30,13-Sep-16,9:00 AM,9:10 AM,B,Var,8,7,8,Broadview Ave.,Major,4,N,Res-Park,N/A,N,N,N,Y,Y,Y,Y,15.5,0,Hedge,3,N,"bin across street in
park",Ave,"N:43.6733
W:79.3561",,across from Riverdale park east,9,1,10
180,202,26,19-Sep-16,1:59 PM,2:11 PM,B,Var,2,2,2,Esandar St.,Minor,2,N,Ind,N/A,N,N,N,N,N,Y,N,24.5,6,Curb,3,N,,Street,"N:43.70778
W:79.35693",*,,10,9,19
181,203,22,19-Sep-16,12:58 PM,1:07 PM,B,Var,6.5,6.5,6.5,Cleveland St.,Minor,2,N,Res,N/A,N,N,N,N,N,Y,N,12,2,Curb,2,N,,Street,"N:43.704157
W:79.378688",,"school located on opposite
corner",4,1,5
