Site #,Site Id,Ward,Date,Start,Finish,Team,Fixed,Width 1,Width 2,Width 3,Street,St. Type,Lanes,Divided,Area,Grass Ht.(Inches),FastFood,ConvStore,MobileFood,"Bench or
Resting
Structure",Bus Stop,"Traffic
Light/
Stop sign",Litter Bin,"Large
Litter
Count","Small
Litter
Count",Catch Pt,LitterIndex,Cleanup,Details,Street,Coordinates,"Updated
Coordinates from
Previous Survey",Comments,2012_large,2012_small,2012_total
20,25,13,20-Sep-16,11:13 AM,11:36 AM,C,Var,18,5,18,St. Clair Ave. W,Major,4,N,Com-Res,3 to 6,Y,Y,N,Y,Y,Y,Y,51,12,"Curb-Grass-
Stone wall",3,N,1 divided city bin,Ave,"N:43.66623
W:79.49905",*,"Litter pieces jammed into stone
wall gaps",17,2,19
21,26,13,20-Sep-16,10:11 AM,10:26 AM,C,Var,6,6,6,Maria St.,Minor,2,N,Res,3 to 6,N,N,N,N,N,N,N,3.5,2,Curb,1,N,,Street,"N: 43.66628
W:79.47476",*,,1,6,7
22,27,13,20-Sep-16,9:16 AM,9:24 AM,C,Var,6.5,6.5,6.5,Methuen Ave.,Minor,2,N,Com-Res,3 to 6,N,Y,N,N,Y,Y,N,3,6,"Curb-Grass
Line",1,N,,Ave,"N:43.655704
W:79.489239",,"Construction along sidewalk
across street",14,0,14
23,28,13,20-Sep-16,9:51 AM,10:05 AM,C,Var,10.5,8,8,Runnymede Rd.,Minor,2,N,Res-Com,over 6,Y,Y,N,N,Y,Y,Y,21,22,"Curb-Grass-
Barrier Walls",1,N,,Road,"N: 43.66041
W:79.48014",*,"Audit site starts at bus stop. 3
divided city bins",3,0,3
24,29,13,15-Sep-16,9:57 AM,10:15 AM,C,Fixed,18,18,18,Spring Rd.,Lane,2,N,Park,3 to 6,N,N,N,Y,N,Y,Y,3,6,"Curb-Grass
Line",1,N,,Road,"N:43.64356
W:79.45821",,4 sets of waste & recycling carts,1,1,2
25,30,17,20-Sep-16,1:21 PM,1:28 PM,B,Var,6,6,7,Nairn Ave.,Minor,2,N,Res,N/A,N,N,N,N,N,Y,N,11.5,2,"Curb-Stone
walls",1,N,,Ave,"N:43.685551
W:79.452248",,,8,4,12
26,31,17,20-Sep-16,2:20 PM,2:45 PM,C,Var,18,18,7,Osler St.,Minor,4,Y,Com-Res,3 to 6,N,N,N,N,N,Y,N,41,8,Curb-Weeds,4,N,,Street,"N:43.673245
W:79.461405",,"Large litter caught in clumps of
weeds",25,2,27
27,32,17,20-Sep-16,3:02 PM,3:25 PM,C,Var,15,18,9,Caledonia Rd.,Minor,2,N,Com-Res-Park,N/A,N,N,N,N,Y,Y,Y,32,17,Curb-Weeds,2,N,,Road,"N:43.67518
W:79.45477",,4 divided city bins,27,11,38
28,33,17,20-Sep-16,2:42 PM,3:00 PM,B,Var,6,6,6,Uxbridge Ave.,Minor,2,N,Res,N/A,N,N,N,N,N,Y,N,48,4,Curb,4,N,,Ave,"N:43.669104
W:79.456949",,,4,1,5
29,34,17,22-Sep-16,9:49 AM,9:59 AM,C,Var,6.5,6.5,6.5,Ashburnham Rd.,Minor,2,N,Res,N/A,N,N,N,N,N,Y,N,8,4,Curb-Hedge,2,N,,Road,"N:43.673132
W:79.443878",,,19,0,19
