siteid,muni_large_count,area_ft2_large
44,47,1800
107,43,2600
41,35,2066.666667
17,31,2400
52,27,2066.666667
77,25,1933.333333
60,24,3266.666667
67,22,2700
10,21,2200
11,21,3600
58,20,3600
9,17,3600
56,17,3000
59,17,3200
4,16,2466.666667
89,6,2000
98,16,3600
54,15,2200
106,15,3600
13,13,2933.333333
24,13,2000
96,13,2733.333333
7,12,3600
49,12,3600
81,12,1600
110,12,3600
25,11,3200
32,11,2933.333333
61,11,3166.666667
15,10,2200
75,10,3333.333333
76,10,2600
92,10,3600
6,9,2133.333333
34,9,2000
50,9,3400
85,9,3333.333333
100,9,3266.666667
26,8,3600
30,8,1733.333333
68,8,3600
82,8,2866.666667
95,8,3333.333333
19,7,3600
39,7,3000
51,7,1900
72,7,16
80,7,2966.666667
27,6,2466.666667
35,6,3000
36,6,3600
37,6,3200
55,6,2600
101,6,3200
103,6,2600
104,6,2566.666667
12,5,3300
18,5,3000
33,5,2400
45,5,2700
66,5,2800
73,5,3600
90,5,3600
1,4,2066.666667
21,4,3400
40,4,2733.333333
43,4,3200
47,4,3600
53,4,3600
57,4,2933.333333
88,4,400
93,4,2533.333333
102,4,3466.666667
109,4,3333.333333
3,3,2800
14,3,3066.666667
20,3,3533.333333
23,3,3200
31,3,2733.333333
42,3,3600
46,3,3000
48,3,3600
62,3,3133.333333
64,3,2000
70,3,2033.333333
71,3,3200
74,3,3300
83,3,3333.333333
91,3,3600
97,3,3233.333333
108,3,2700
2,2,3000
16,2,2800
22,2,3066.666667
38,2,3600
79,2,3600
84,2,3600
86,2,3600
105,2,3200
5,1,1600
28,1,3533.333333
65,1,3600
69,1,3400
78,1,2866.666667
87,1,3600
8,0,3600
63,0,3066.666667
94,0,3200
